Newborn Screening Saves Lives Reauthorization Act of 2014|113|House|LUCILLE ROYBAL-ALLARD(D) |Became Public Law No: 113-240.|2014-12-18|https://www.congress.gov/113/bills/hr1281/BILLS-113hr1281enr.pdf
A resolution celebrating the 100th anniversary of the birth of James Cleveland "Jesse" Owens and honoring him for his accomplishments and steadfast commitment to promoting the civil rights of all people.|113|Senate|Sherrod Brown(D) |Resolution agreed to in Senate without amendment and an amended preamble by Unanimous Consent.|2014-12-16|https://www.congress.gov/113/bills/sres226/BILLS-113sres226ats.pdf
A resolution recognizing the 100-year anniversary of Big Brothers Big Sisters Southeastern Pennsylvania.|113|Senate|Patrick Toomey(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6698; text as passed Senate: CR S6631)|2014-12-11|https://www.congress.gov/113/bills/sres599/BILLS-113sres599ats.pdf
International Megan's Law to Prevent Demand for Child Sex Trafficking|113|House|CHRISTOPHER SMITH(R) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 645.|2014-12-11|https://www.congress.gov/113/bills/hr4573/BILLS-113hr4573rfs.pdf
Women's Procurement Program Equalization Act of 2013|113|House|NYDIA VELAZQUEZ(D) |Placed on the Union Calendar, Calendar No. 498.|2014-12-11|https://www.congress.gov/113/bills/hr2452/BILLS-113hr2452rh.pdf
Promoting Women in Entrepreneurship Act|113|House|Elizabeth Esty(D) |Referred to the Subcommittee on Research and Technology.|2014-12-11|https://www.congress.gov/113/bills/hr5527/BILLS-113hr5527ih.pdf
Improvements in Global MOMS Act|113|House|LOIS CAPPS(D) |Referred to the House Committee on Foreign Affairs.|2014-12-11|https://www.congress.gov/113/bills/hr5862/BILLS-113hr5862ih.pdf
Commission to Study the Potential Creation of a National Women's History Museum Act|113|Senate|Susan Collins(R) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 630.|2014-12-10|https://www.congress.gov/113/bills/s398/BILLS-113s398rs.pdf
To amend title 18, United States Code, to extend the coverage of the Federal prohibition against hate crimes in order to provide greater protections to persons who are gay, lesbian, bisexual, or transgender.|113|House|ROBERT BRADY(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2014-12-09|https://www.congress.gov/113/bills/hr5711/BILLS-113hr5711ih.pdf
To amend the Federal charter of the Veterans of Foreign Wars of the United States to reflect the service of women in the Armed Forces of the United States.|113|House|Jeff Miller(R) |Became Public Law No: 113-199.|2014-12-04|https://www.congress.gov/113/bills/hr5441/BILLS-113hr5441enr.pdf
A resolution celebrating the centennial year of the birth of Jan Karski and honoring his extraordinary and courageous life.|113|Senate|BARBARA MIKULSKI(D) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6356; text as passed Senate: CR S6352)|2014-12-04|https://www.congress.gov/113/bills/sres594/BILLS-113sres594ats.pdf
Recognizing the 100-year anniversary of Big Brothers Big Sisters Southeastern Pennsylvania.|113|House|CHAKA FATTAH(D) |Referred to the House Committee on Oversight and Government Reform.|2014-12-04|https://www.congress.gov/113/bills/hres771/BILLS-113hres771ih.pdf
Ensuring Access to Primary Care for Women & Children Act|113|House|Kathy Castor(D) |Referred to the Subcommittee on Health.|2014-11-21|https://www.congress.gov/113/bills/hr5723/BILLS-113hr5723ih.pdf
