A resolution celebrating October 25, 2018, as the 30th anniversary of the passage of the Women's Business Ownership Act of 1988, while commending the unique entrepreneurial spirit shared by women small business owners of the United States.|115|Senate|James Risch(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S7062-7063; text: CR S7056-7057)|2018-11-15|https://www.congress.gov/115/bills/sres693/BILLS-115sres693ats.pdf
A resolution acknowledging the 50th anniversary of the election to the House of Representatives of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.|115|Senate|Charles Schumer(D) |Referred to the Committee on the Judiciary. (text of measure as introduced: CR S7055)|2018-11-15|https://www.congress.gov/115/bills/sres689/BILLS-115sres689is.pdf
Remembering the 20th anniversary of Matthew Shepard's death and expressing Congress's continued support for the prevention of hate crimes and the advancement of equality for lesbian, gay, bisexual, transgender, and queer Americans.|115|House|Elizabeth Esty(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-11-15|https://www.congress.gov/115/bills/hres1121/BILLS-115hres1121ih.pdf
Sexual Harassment Awareness and Prevention Act of 2018|115|House|NYDIA VELAZQUEZ(D) |Referred to the Subcommittee on the Constitution and Civil Justice.|2018-11-15|https://www.congress.gov/115/bills/hr6925/BILLS-115hr6925ih.pdf
Pregnant Women in Custody Act|115|Senate|Rand Paul(R) |Read twice and referred to the Committee on the Judiciary.|2018-11-14|https://www.congress.gov/115/bills/s3616/BILLS-115s3616is.pdf
Congratulating Dr. Denis Mukwege and Nadia Murad for receiving the 2018 Nobel Peace Prize for their advocacy on behalf of the millions who have suffered from sexual violence as a result of conflict, and for other purposes.|115|House|Gwen Moore(D) |Referred to the House Committee on Foreign Affairs.|2018-11-14|https://www.congress.gov/115/bills/hres1147/BILLS-115hres1147ih.pdf
Promoting Women in the Aviation Workforce Act|115|House|Elizabeth Esty(D) |Placed on the Union Calendar, Calendar No. 797.|2018-11-13|https://www.congress.gov/115/bills/hr4673/BILLS-115hr4673rh.pdf
Acknowledging the 50th anniversary of the election of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.|115|House|Yvette Clarke(D) |Referred to the House Committee on House Administration.|2018-11-09|https://www.congress.gov/115/bills/hres1139/BILLS-115hres1139ih.pdf
Expressing support for the recognition of October as National Women's Small Business Month as a time to celebrate the growth and accomplishments of women entrepreneurs and small business owners, and to support efforts to increase awareness of the value of women-owned small businesses.|115|House|Alma Adams(D) |Referred to the House Committee on Small Business.|2018-10-26|https://www.congress.gov/115/bills/hres1134/BILLS-115hres1134ih.pdf
Minority Women in STEM Inclusion Act|115|House|Marc Veasey(D) |Referred to the House Committee on Science, Space, and Technology.|2018-10-26|https://www.congress.gov/115/bills/hr7092/BILLS-115hr7092ih.pdf
Expressing support for the designation of September 23 as "Mary Church Terrell Day", and calling on Congress to recognize Mary Church Terrell's lasting contributions to the civil rights and women's rights movements.|115|House|ELEANOR NORTON(D) |Referred to the House Committee on Oversight and Government Reform.|2018-10-12|https://www.congress.gov/115/bills/hres1126/BILLS-115hres1126ih.pdf
A resolution congratulating the Seattle Storm women's basketball team on winning the 2018 Women's National Basketball Association championship.|115|Senate|Patty Murray(D) |Referred to the Committee on Commerce, Science, and Transportation. (text of measure as introduced: CR S6823)|2018-10-11|https://www.congress.gov/115/bills/sres677/BILLS-115sres677is.pdf
Rural MOMS Act|115|Senate|Heidi Heitkamp(D) |Read twice and referred to the Committee on Health, Education, Labor, and Pensions.|2018-10-10|https://www.congress.gov/115/bills/s3568/BILLS-115s3568is.pdf
Sex Offender Registration and Victim Protection Act of 2018|115|House|Jody Hice(R) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-10-09|https://www.congress.gov/115/bills/hr6595/BILLS-115hr6595ih.pdf
Keeping Girls in School Act|115|House|Lois Frankel(D) |Referred to the House Committee on Foreign Affairs.|2018-10-09|https://www.congress.gov/115/bills/hr7055/BILLS-115hr7055ih.pdf
Combating Sexual Harassment in Science Act of 2018|115|House|EDDIE JOHNSON(D) |Referred to the House Committee on Science, Space, and Technology.|2018-10-05|https://www.congress.gov/115/bills/hr7031/BILLS-115hr7031ih.pdf
To designate the José Celso Barbosa Birthplace Home National Historic Landmark.|115|House|Jenniffer Gonzalez-Colon(R) |Referred to the Subcommittee on Federal Lands.|2018-10-02|https://www.congress.gov/115/bills/hr6881/BILLS-115hr6881ih.pdf
Women's Pension Protection Act of 2018|115|House|JANICE SCHAKOWSKY(D) |Referred to the Committee on Education and the Workforce, and in addition to the Committee on Financial Services, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2018-10-02|https://www.congress.gov/115/bills/hr7026/BILLS-115hr7026ih.pdf
To provide the right of American Indians born in Canada or the United States to pass the borders of the United States to any individual who is a member, or is eligible to be a member, of a Federally recognized Indian tribe in the United States or Canada, and for other purposes.|115|House|Derek Kilmer(D) |Referred to the Subcommittee on Immigration and Border Security.|2018-10-01|https://www.congress.gov/115/bills/hr6598/BILLS-115hr6598ih.pdf
Stop Gendercide Act|115|House|Ann Wagner(R) |Referred to the House Committee on Foreign Affairs.|2018-09-28|https://www.congress.gov/115/bills/hr7008/BILLS-115hr7008ih.pdf
Supporting the goals and ideals of October as "National Domestic Violence Awareness Month" and expressing the sense of the House of Representatives that Congress should continue to raise awareness of domestic violence and its devastating effects on individuals, families, and communities, and support programs designed to end domestic violence in the United States.|115|House|Al Green(D) |Referred to the House Committee on Education and the Workforce.|2018-09-28|https://www.congress.gov/115/bills/hres1104/BILLS-115hres1104ih.pdf
GIRLS Act|115|House|Grace Meng(D) |Referred to the House Committee on Education and the Workforce.|2018-09-27|https://www.congress.gov/115/bills/hr6953/BILLS-115hr6953ih.pdf
Celebrating the 10th anniversary of the Women's Congressional Staff Association.|115|House|Lois Frankel(D) |Referred to the House Committee on House Administration.|2018-09-26|https://www.congress.gov/115/bills/hres1085/BILLS-115hres1085ih.pdf
MOMMIES Act|115|Senate|Cory Booker(D) |Read twice and referred to the Committee on Finance.|2018-09-25|https://www.congress.gov/115/bills/s3494/BILLS-115s3494is.pdf
Violence Against Women Veterans Act|115|House|NYDIA VELAZQUEZ(D) |Referred to the House Committee on Veterans' Affairs.|2018-09-25|https://www.congress.gov/115/bills/hr6869/BILLS-115hr6869ih.pdf
Violence Against Women Reauthorization Act of 2018|115|House|Ted Poe(R) |Referred to the Subcommittee on Indian, Insular and Alaska Native Affairs.|2018-09-20|https://www.congress.gov/115/bills/hr6797/BILLS-115hr6797ih.pdf
Violence Against Women Extension Act of 2018|115|House|Elise Stefanik(R) |Referred to the Subcommittee on Indian, Insular and Alaska Native Affairs.|2018-09-20|https://www.congress.gov/115/bills/hr6796/BILLS-115hr6796ih.pdf
Violence Against Women Reauthorization Act of 2018|115|House|SHEILA JACKSON LEE(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-09-19|https://www.congress.gov/115/bills/hr6545/BILLS-115hr6545ih.pdf
A resolution celebrating the tenth anniversary of the Women's Congressional Staff Association.|115|Senate|Dianne Feinstein(D) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S6194; text: CR S6192-6163)|2018-09-17|https://www.congress.gov/115/bills/sres630/BILLS-115sres630ats.pdf
To amend the Violent Crime Control and Law Enforcement Act of 1994 to increase the minimum amount made available to territories under the Sexual Assault Services Program, and for other purposes.|115|House|Madeleine Bordallo(D) |Referred to the House Committee on the Judiciary.|2018-09-13|https://www.congress.gov/115/bills/hr6806/BILLS-115hr6806ih.pdf
Honoring the work done by the 12th Woman.|115|House|Ted Poe(R) |Referred to the House Committee on Education and the Workforce.|2018-09-13|https://www.congress.gov/115/bills/hres1064/BILLS-115hres1064ih.pdf
Pregnant Women in Custody Act|115|House|Karen Bass(D) |Referred to the House Committee on the Judiciary.|2018-09-13|https://www.congress.gov/115/bills/hr6805/BILLS-115hr6805ih.pdf
Women's Pension Protection Act of 2018|115|Senate|Patty Murray(D) |Read twice and referred to the Committee on Health, Education, Labor, and Pensions.|2018-09-12|https://www.congress.gov/115/bills/s3436/BILLS-115s3436is.pdf
Maternal CARE Act|115|House|Alma Adams(D) |Referred to the Subcommittee on Health.|2018-09-08|https://www.congress.gov/115/bills/hr6698/BILLS-115hr6698ih.pdf
MOMS Act|115|Senate|Kirsten Gillibrand(D) |Read twice and referred to the Committee on Health, Education, Labor, and Pensions.|2018-08-28|https://www.congress.gov/115/bills/s3392/BILLS-115s3392is.pdf
Expressing support for the designation of September 2018 as National Campus Sexual Assault Awareness Month.|115|House|ELEANOR NORTON(D) |Referred to the House Committee on Oversight and Government Reform.|2018-08-28|https://www.congress.gov/115/bills/hres1045/BILLS-115hres1045ih.pdf
Maternal CARE Act|115|Senate|Kamala Harris(D) |Read twice and referred to the Committee on Finance.|2018-08-22|https://www.congress.gov/115/bills/s3363/BILLS-115s3363is.pdf
A resolution designating August 16, 2018, as "National Airborne Day".|115|Senate|Lisa Murkowski(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S5701; text: CR S5695)|2018-08-16|https://www.congress.gov/115/bills/sres608/BILLS-115sres608ats.pdf
A bill to repeal the funding authorization sunset and the total funding cap for the Essex National Heritage Area.|115|Senate|Edward Markey(D) |Committee on Energy and Natural Resources Subcommittee on National Parks. Hearings held. With printed Hearing: S.Hrg. 115-526.|2018-08-15|https://www.congress.gov/115/bills/s2570/BILLS-115s2570is.pdf
Condemning the Attorney General's decision in "Matter of A-B-" seeking to declare domestic violence and gang violence as invalid grounds for seeking asylum.|115|House|JANICE SCHAKOWSKY(D) |Referred to the Subcommittee on Immigration and Border Security.|2018-08-06|https://www.congress.gov/115/bills/hres987/BILLS-115hres987ih.pdf
Gay and Trans Panic Defense Prohibition Act of 2018|115|House|Joseph Kennedy(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2018-08-06|https://www.congress.gov/115/bills/hr6358/BILLS-115hr6358ih.pdf
Interagency Committee on Women's Business Enterprise Act of 2018|115|House|Grace Meng(D) |Referred to the House Committee on Small Business.|2018-07-26|https://www.congress.gov/115/bills/hr6610/BILLS-115hr6610ih.pdf
Recognizing the importance of access to comprehensive, high-quality, life-affirming medical care for women of all ages.|115|House|Andy Biggs(R) |Referred to the House Committee on Energy and Commerce.|2018-07-26|https://www.congress.gov/115/bills/hres1033/BILLS-115hres1033ih.pdf
A resolution honoring the men and women of the Drug Enforcement Administration on the 45th anniversary of the agency.|115|Senate|Charles Grassley(R) |Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.|2018-07-24|https://www.congress.gov/115/bills/sres578/BILLS-115sres578ats.pdf
HALT Campus Sexual Violence Act|115|House|Jackie Speier(D) |Referred to the Committee on Education and the Workforce, and in addition to the Committee on the Judiciary, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2018-07-23|https://www.congress.gov/115/bills/hr6464/BILLS-115hr6464ih.pdf
A resolution honoring the 170th anniversary of the first women's rights convention held in the United States in Seneca Falls, New York.|115|Senate|Kirsten Gillibrand(D) |Referred to the Committee on the Judiciary. (text of measure as introduced: CR S5111)|2018-07-19|https://www.congress.gov/115/bills/sres586/BILLS-115sres586is.pdf
A resolution honoring the life, accomplishments, and legacy of Nelson Mandela on the centenary of his birth|115|Senate|Christopher Coons(D) |Referred to the Committee on Foreign Relations. (text of measure as introduced: CR S5070-5071)|2018-07-18|https://www.congress.gov/115/bills/sres579/BILLS-115sres579is.pdf
Women's Entrepreneurship and Economic Empowerment Act of 2018|115|House|ED ROYCE(R) |Received in the Senate and Read twice and referred to the Committee on Foreign Relations.|2018-07-18|https://www.congress.gov/115/bills/hr5480/BILLS-115hr5480rfs.pdf
Stop Shackling and Detaining Pregnant Women Act|115|Senate|Patty Murray(D) |Read twice and referred to the Committee on the Judiciary.|2018-07-17|https://www.congress.gov/115/bills/s3225/BILLS-115s3225is.pdf
Expressing the sense of the House of Representatives that the Nation now faces a more complex and grave set of threats than at any time since the end of World War II, and that the lack of full, on-time funding related to defense activities puts servicemen and servicewomen at risk, harms national security, and aids the adversaries of the United States.|115|House|Liz Cheney(R) |Motion to reconsider laid on the table Agreed to without objection.|2018-07-17|https://www.congress.gov/115/bills/hres995/BILLS-115hres995eh.pdf
Justice for Native Survivors of Sexual Violence Act|115|Senate|Tina Smith(D) |Read twice and referred to the Committee on Indian Affairs.|2018-07-16|https://www.congress.gov/115/bills/s3216/BILLS-115s3216is.pdf
Gay and Trans Panic Defense Prohibition Act of 2018|115|Senate|Edward Markey(D) |Read twice and referred to the Committee on the Judiciary.|2018-07-10|https://www.congress.gov/115/bills/s3188/BILLS-115s3188is.pdf
Maternal Health Accountability Act of 2017|115|Senate|Heidi Heitkamp(D) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 502.|2018-07-09|https://www.congress.gov/115/bills/s1112/BILLS-115s1112rs.pdf
Jeanette Acosta Invest in Women's Health Act of 2018|115|House|Jimmy Gomez(D) |Referred to the House Committee on Energy and Commerce.|2018-07-06|https://www.congress.gov/115/bills/hr6315/BILLS-115hr6315ih.pdf
Expressing the sense of the House of Representatives that the Nation now faces a more complex and grave set of threats than at any time since the end of World War II and that the continued use of continuing resolutions to fund defense-related activities puts servicemen and servicewomen at risk, harms national security, and aids the adversaries of the United States.|115|House|Liz Cheney(R) |Referred to the House Committee on Appropriations.|2018-07-06|https://www.congress.gov/115/bills/hres983/BILLS-115hres983ih.pdf
Enhancing Public Access to Feminine Hygiene Products Act|115|House|Bonnie Watson Coleman(D) |Referred to the Subcommittee on Economic Development, Public Buildings and Emergency Management.|2018-06-29|https://www.congress.gov/115/bills/hr6266/BILLS-115hr6266ih.pdf
