Women's Small Business Ownership Act of 2015|114|Senate|Maria Cantwell(D) |By Senator Vitter from Committee on Small Business and Entrepreneurship filed written report under authority of the order of the Senate of 12/10/2016. Report No. 114-413.|2016-12-20|https://www.congress.gov/114/bills/s2126/BILLS-114s2126rs.pdf
A bill to amend Rule 611 of the Federal Rules of Evidence to prohibit cross-examination by the accused of minor victims of sexual assault.|114|Senate|JEFF FLAKE(R) |Read twice and referred to the Committee on the Judiciary.|2016-12-08|https://www.congress.gov/114/bills/s3524/BILLS-114s3524is.pdf
Justice for Native Survivors of Sexual Violence Act|114|Senate|Al Franken(D) |Read twice and referred to the Committee on Indian Affairs.|2016-12-08|https://www.congress.gov/114/bills/s3523/BILLS-114s3523is.pdf
100 Years of Women in Congress Act|114|Senate|Steve Daines(R) |Read twice and referred to the Committee on Agriculture, Nutrition, and Forestry.|2016-12-05|https://www.congress.gov/114/bills/s3495/BILLS-114s3495is.pdf
A resolution supporting the designation of October 8, 2016, as "40 Years of Women Cadets at the United States Air Force Academy Day".|114|Senate|Cory Gardner(R) |Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.|2016-11-29|https://www.congress.gov/114/bills/sres611/BILLS-114sres611ats.pdf
To amend the Small Business Act to provide for the inclusion of unmarried women in the criteria for awarding a grant to a women's business center.|114|House|STEVE ISRAEL(D) |Referred to the House Committee on Small Business.|2016-11-29|https://www.congress.gov/114/bills/hr6398/BILLS-114hr6398ih.pdf
National Oceanic and Atmospheric Administration Sexual Harassment and Assault Prevention Act|114|Senate|Dan Sullivan(R) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 688.|2016-11-28|https://www.congress.gov/114/bills/s2206/BILLS-114s2206rs.pdf
Women, Peace, and Security Act of 2016|114|House|Kristi Noem(R) |Received in the Senate and Read twice and referred to the Committee on Foreign Relations.|2016-11-16|https://www.congress.gov/114/bills/hr5332/BILLS-114hr5332rfs.pdf
Expressing the sense of the House of Representatives that the President should award the Presidential Medal of Freedom, posthumously, to Mrs. Henrietta Lacks, in recognition of her invaluable contribution to modern science in the form of her own immortal cells-HeLa cells-without which life-saving medicines and procedures would not have been developed at critical moments in our Nation's history.|114|House|Robin Kelly(D) |Referred to the Committee on Energy and Commerce, and in addition to the Committee on Oversight and Government Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2016-11-16|https://www.congress.gov/114/bills/hres926/BILLS-114hres926ih.pdf
Fair Housing for Domestic Violence and Sexual Assault Survivors Act of 2016|114|House|Debbie Wasserman Schultz(D) |Referred to the Subcommittee on the Constitution and Civil Justice.|2016-10-18|https://www.congress.gov/114/bills/hr6211/BILLS-114hr6211ih.pdf
Supporting the ideals and goals of the "International Day for the Elimination of Violence against Women".|114|House|MICHAEL HONDA(D) |Referred to the Subcommittee on Crime, Terrorism, Homeland Security, and Investigations.|2016-10-11|https://www.congress.gov/114/bills/hres910/BILLS-114hres910ih.pdf
Veterans Day Moment of Silence Act|114|Senate|MARK KIRK(R) |Became Public Law No: 114-240.|2016-10-07|https://www.congress.gov/114/bills/s1004/BILLS-114s1004enr.pdf
Federal Funding Accountability for Sexual Harassers Act|114|House|Jackie Speier(D) |Referred to the Subcommittee on Research and Technology.|2016-09-30|https://www.congress.gov/114/bills/hr6161/BILLS-114hr6161ih.pdf
Women and Minorities in STEM Booster Act of 2016|114|House|CAROLYN MALONEY(D) |Referred to the Subcommittee on Research and Technology.|2016-09-30|https://www.congress.gov/114/bills/hr4803/BILLS-114hr4803ih.pdf
A resolution recognizing the 40th Anniversary of the first class of women admitted to the Coast Guard Academy.|114|Senate|Richard Blumenthal(D) |Resolution agreed to in Senate without amendment and with a preamble by Unanimous Consent.|2016-09-29|https://www.congress.gov/114/bills/sres579/BILLS-114sres579ats.pdf
Violence Against Women Veterans Act|114|Senate|Jeanne Shaheen(D) |Read twice and referred to the Committee on Veterans' Affairs.|2016-09-28|https://www.congress.gov/114/bills/s3434/BILLS-114s3434is.pdf
Expressing appreciation during "Domestic Violence Action Month" to all the providers of services in the Second District of Washington state that work tirelessly to end the scourge of domestic violence and to provide education, shelter and assistance to victims of domestic violence.|114|House|RICK LARSEN(D) |Referred to the House Committee on Education and the Workforce.|2016-09-28|https://www.congress.gov/114/bills/hres911/BILLS-114hres911ih.pdf
Honoring Sisters Network Inc.® for its work to raise awareness about the tragic impact of breast cancer in the African-American community.|114|House|Al Green(D) |Referred to the House Committee on Energy and Commerce.|2016-09-28|https://www.congress.gov/114/bills/hres904/BILLS-114hres904ih.pdf
Enhancing Minority and Women Representation in NIH Medical Research Act of 2016|114|House|Joyce Beatty(D) |Referred to the House Committee on Energy and Commerce.|2016-09-28|https://www.congress.gov/114/bills/hr6224/BILLS-114hr6224ih.pdf
Extending Justice for Sex Crime Victims Act of 2016|114|House|Ted Poe(R) |Referred to the Subcommittee on the Constitution and Civil Justice.|2016-09-27|https://www.congress.gov/114/bills/hr6036/BILLS-114hr6036ih.pdf
Inspiring the Next Space Pioneers, Innovators, Researchers, and Explorers (INSPIRE) Women Act|114|House|Barbara Comstock(R) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 644.|2016-09-26|https://www.congress.gov/114/bills/hr4755/BILLS-114hr4755rs.pdf
Promoting Women in Entrepreneurship Act|114|House|Elizabeth Esty(D) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 643.|2016-09-26|https://www.congress.gov/114/bills/hr4742/BILLS-114hr4742rs.pdf
Supporting the goals and ideals of October as National Domestic Violence Awareness Month and expressing the sense of the House of Representatives that Congress should continue to raise awareness of domestic violence and its devastating effects on individuals, families, and communities, and support programs designed to end domestic violence in the United States.|114|House|Al Green(D) |Referred to the House Committee on Education and the Workforce.|2016-09-22|https://www.congress.gov/114/bills/hres889/BILLS-114hres889ih.pdf
Enhancing Military and Police Operations through Women's Engagement and Recruitment Act of 2016|114|Senate|BARBARA BOXER(D) |Read twice and referred to the Committee on Foreign Relations.|2016-09-21|https://www.congress.gov/114/bills/s3377/BILLS-114s3377is.pdf
Youth Access to Sexual Health Services Act of 2016|114|Senate|Mazie Hirono(D) |Read twice and referred to the Committee on Finance.|2016-09-20|https://www.congress.gov/114/bills/s3360/BILLS-114s3360is.pdf
Menstrual Products for Employees Act|114|House|Grace Meng(D) |Referred to the Subcommittee on Workforce Protections.|2016-09-19|https://www.congress.gov/114/bills/hr5929/BILLS-114hr5929ih.pdf
Menstrual Products for Employees Act of 2016|114|House|Grace Meng(D) |Referred to the Subcommittee on Workforce Protections.|2016-09-19|https://www.congress.gov/114/bills/hr5915/BILLS-114hr5915ih.pdf
Improving the Juvenile Justice System for Girls Act of 2016|114|House|ROSA DELAURO(D) |Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education.|2016-09-19|https://www.congress.gov/114/bills/hr5512/BILLS-114hr5512ih.pdf
Protecting Students from Sexual and Violent Predators Act|114|House|Marsha Blackburn(R) |Referred to the Subcommittee on Early Childhood, Elementary, and Secondary Education.|2016-09-19|https://www.congress.gov/114/bills/hr4666/BILLS-114hr4666ih.pdf
A resolution supporting the goals and ideals of National Domestic Violence Awareness Month, commending domestic violence victim advocates, domestic violence victim service providers, crisis hotline staff, and first responders serving victims of domestic violence for their compassionate support of victims of domestic violence, and expressing the sense of the Senate that Congress should continue to support efforts to end domestic violence and hold perpetrators of domestic violence accountable.|114|Senate|Charles Grassley(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S5868; text as passed Senate: CR S5850-5851)|2016-09-15|https://www.congress.gov/114/bills/sres566/BILLS-114sres566ats.pdf
