An Act to amend title 38 of the United States Code with respect to compensation and educational assistance for widows of veterans to make certain widows and children eligible for care in Veterans Administration hospitals, and to change the limitation of the periods of educational assistance available under part III of such title|90|House|NA|Became Public Law No. 90-631|1968-10-23|https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg1331.pdf
An Act to amend title 5, United States Code, to provide time off from duty without loss of pay or reduction in leave for employees of executive agencies to attend and make necessary arrangements in connection with the funerals of their sons or daughters in the U.S. Armed Forces overseas who died in or as a result of armed conflict with w hostile foreign force or forces, and for other purposes|90|House|NA|Became Public Law No. 90-588|1968-10-17|https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg1151.pdf
An Act for the Relief of Doctor Samad Momtazee.|90|Senate|NA|Became Private Law No. 90-330|1968-09-24|https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg1426.pdf
An Act to permit black and white or color reproductions of U.S. and foreign postage stamps under certain circumstances, and for other purposes|90|House|NA|Became Public Law No. 90-353|1968-06-20|https://www.congress.gov/90/statute/STATUTE-82/STATUTE-82-Pg240.pdf
An Act for the Relief of Our Lady of Pillar Catholic Church in Santa Ana, California.|90|House|NA|Became Private Law No. 90-184|1967-12-18|https://www.congress.gov/90/statute/STATUTE-81/STATUTE-81-Pg1043-4.pdf
An Act to amend the act of August 19, 1950, to provide annuity benefits for an addition number of widows of employees of the Lighthouse Service|90|House|NA|Became Public Law No. 90-167|1967-11-29|https://www.congress.gov/90/statute/STATUTE-81/STATUTE-81-Pg520.pdf
An Act to amend titles 10, 32, and 37, United States Code, to remove restrictions on the careers of female officers in the Army, Navy, Air Force, and Marine Corps, and for other purposes.|90|House|NA|Became Public Law No. 90-130|1967-11-08|https://www.congress.gov/90/statute/STATUTE-81/STATUTE-81-Pg374.pdf
