An Act to amend title 38, United States Code, to provide for the restoration of certain widows and children to the rolls upon annulment of their marriages or remarriages, and for other purposes|87|House|NA|Became Public Law No. 87-674|1962-09-19|https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg558.pdf
An Act to provide for the incorporation of the National Woman's Relief Corps, Auxiliary to the Grand Army of the Republic, organized 1883, seventy-eight years old|87|Senate|NA|Became Public Law No. 87-650|1962-09-07|https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg502.pdf
An Act to extend benefits of the Policemen and Firemen's Retirement and Disability Act Amendments of 1957 to widows and surviving children of former members of the Metropolitan Police force, the Fire Department of the District of Columbia, the United States Park Police force, the White Hbuse Police force, or the United States Secret Service Division, who were retired or who died in the service of any such organization prior to the effective date of such amendments|87|Senate|NA|Became Public Law No. 87-601|1962-08-24|https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg402.pdf
An Act to authorize establishment of the Theodore Roosevelt Birthplace and Sagamore HUI National Historic Sites, N.Y., and for other purposes|87|House|NA|Became Public Law No. 87-547|1962-07-25|https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg217.pdf
An Act to grant constructive service to members of the Coast Guard Womens Reserve for the period of July 25, 1947, to November 1, 1949|87|House|NA|Became Public Law No. 87-482|1962-06-12|https://www.congress.gov/87/statute/STATUTE-76/STATUTE-76-Pg95-2.pdf
An Act to amend the Internal Revenue Code of 1954 and incorporate therein provisions for the payment of annuities to widows and certain dependents of the judges of the Tax Court of the United States, and for other purposes|87|House|NA|Became Public Law No. 87-370|1961-10-04|https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg796.pdf
An Act to amend section 1732(b) of title 28, United States Code, to permit the photographic reproduction of business records held in a custodial or fiduciary capacity and the introduction of the same in evidence|87|House|NA|Became Public Law No. 87-183|1961-08-30|https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg413.pdf
An Act to authorize the Secretary of Defense to lend certain Army, Navy, and Air Force equipment and provide certain services to the Girl Scouts of the United States of America for use at the 1962 Girl Scouts senior roundup encampment, and for other purposes|87|House|NA|Became Public Law No. 87-149|1961-08-17|https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg387.pdf
An Act to improve benefits under the old-age, survivors, and disability insurance program by increasing the minimum benefits and aged widows benefits and by making additional persons eligible for benefits under the program, and for other purposes|87|House|NA|Became Public Law No. 87-64|1961-06-30|https://www.congress.gov/87/statute/STATUTE-75/STATUTE-75-Pg131.pdf
