Strengthening the Opposition to Female Genital Mutilation Act of 2020|116|House|SHEILA JACKSON LEE(D) |Became Public Law No: 116-309.|2021-01-05|https://www.congress.gov/116/bills/hr6100/BILLS-116hr6100enr.pdf
Military Domestic Violence Prevention Act|116|House|David Joyce(R) |Referred to the House Committee on Armed Services.|2020-12-21|https://www.congress.gov/116/bills/hr9044/BILLS-116hr9044ih.pdf
Stop Internet Sexual Exploitation Act|116|Senate|Jeff Merkley(D) |Read twice and referred to the Committee on Commerce, Science, and Transportation.|2020-12-17|https://www.congress.gov/116/bills/s5054/BILLS-116s5054is.pdf
Prohibiting Annuities for Sexual Abusers in Congress Act|116|House|Jason Crow(D) |Referred to the Committee on House Administration, and in addition to the Committee on Oversight and Reform, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned.|2020-12-17|https://www.congress.gov/116/bills/hr9001/BILLS-116hr9001ih.pdf
Data Mapping to Save Moms' Lives Act|116|Senate|Jacklyn Rosen(D) |Held at the desk.|2020-12-16|https://www.congress.gov/116/bills/s3152/BILLS-116s3152es.pdf
Justice for Native Survivors of Sexual Violence Act|116|House|Debra Haaland(D) |Placed on the Union Calendar, Calendar No. 532.|2020-12-15|https://www.congress.gov/116/bills/hr3977/BILLS-116hr3977rh.pdf
Supporting Best Practices for Healthy Moms Act|116|House|Robin Kelly(D) |Referred to the House Committee on Energy and Commerce.|2020-12-14|https://www.congress.gov/116/bills/hr8958/BILLS-116hr8958ih.pdf
Holding Sexual Predators and Online Enablers Accountable Act of 2020|116|Senate|Kelly Loeffler(R) |Read twice and referred to the Committee on the Judiciary.|2020-12-11|https://www.congress.gov/116/bills/s5012/BILLS-116s5012is.pdf
Late Term Abortion Ban Act|116|House|Tulsi Gabbard(D) |Referred to the House Committee on the Judiciary.|2020-12-10|https://www.congress.gov/116/bills/hr8939/BILLS-116hr8939ih.pdf
Protect Women’s Sports Act of 2020|116|House|Tulsi Gabbard(D) |Referred to the House Committee on Education and Labor.|2020-12-10|https://www.congress.gov/116/bills/hr8932/BILLS-116hr8932ih.pdf
Protection of Born-Alive Abortion Survivors Act|116|House|Tulsi Gabbard(D) |Referred to the House Committee on the Judiciary.|2020-12-09|https://www.congress.gov/116/bills/hr8923/BILLS-116hr8923ih.pdf
A resolution urging the European Parliament to exempt certain technologies used to detect child sexual exploitation from European Union ePrivacy directive.|116|Senate|Tom Cotton(R) |Referred to the Committee on Foreign Relations. (text: CR S7241)|2020-12-07|https://www.congress.gov/116/bills/sres794/BILLS-116sres794is.pdf
