A resolution condemning the tragic and senseless death by stoning of a 13-year old girl from Somalia.|110|Senate|Susan Collins(R) |Submitted in the Senate, considered, and agreed to without amendment and with a preamble by Unanimous Consent. (consideration: CR S10772; text as passed Senate: CR S10772; text of measure as introduced: CR S10752)|2008-11-20|https://www.congress.gov/110/bills/sres711/BILLS-110sres711ats.pdf
Acknowledging the 40th anniversary of the election of Shirley Anita St. Hill Chisholm, the first African-American woman in Congress.|110|House|BARBARA LEE(D) |Referred to the House Committee on House Administration.|2008-11-19|https://www.congress.gov/110/bills/hres1529/BILLS-110hres1529ih.pdf
Honoring and recognizing Alice Mary Robertson who, while a Member of Congress, became the first woman to preside over the floor of the House of Representatives.|110|House|Mary Fallin(R) |Motion to reconsider laid on the table Agreed to without objection.|2008-10-02|https://www.congress.gov/110/bills/hres1272/BILLS-110hres1272eh.pdf
Recognizing and acknowledging the important role of adoption, and commending all parties involved, including birthparents who carry out an adoption plan, adoptive families, and adopted children.|110|House|Jean Schmidt(R) |Referred to the Committee on Health, Education, Labor, and Pensions.|2008-10-02|https://www.congress.gov/110/bills/hconres239/BILLS-110hconres239rfs.pdf
Expressing the sense of the Congress that the United States flag flown over the United States Capitol should be lowered to half-mast one day each month in honor of the brave men and women from the United States who have lost their lives in military conflicts.|110|House|Lincoln Davis(D) |Referred to the Committee on Rules and Administration.|2008-10-02|https://www.congress.gov/110/bills/hconres61/BILLS-110hconres61rfs.pdf
A resolution reducing maternal mortality both at home and abroad.|110|Senate|BLANCHE LINCOLN(D) |Resolution agreed to in Senate with amendments and with a preamble by Unanimous Consent. (text: CR S10423)|2008-10-02|https://www.congress.gov/110/bills/sres616/BILLS-110sres616ats.pdf
Commending the Kingdom of Morocco for designating a "National Women's Day" to be observed each year on October 10, and for other purposes.|110|House|BARBARA LEE(D) |Referred to the House Committee on Foreign Affairs.|2008-09-29|https://www.congress.gov/110/bills/hres1520/BILLS-110hres1520ih.pdf
Fulfilling the Potential of Women in Academic Science and Engineering Act of 2008|110|House|EDDIE JOHNSON(D) |Hearing Held by Subcommittee on Research and Science Education Prior to Indroduction and Referral (05/08/2008)..|2008-09-27|https://www.congress.gov/110/bills/hr6314/BILLS-110hr6314ih.pdf
Protect Pregnant Women and Children from Dangerous Lead Exposures Act of 2008|110|Senate|BARBARA BOXER(D) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 1097.|2008-09-26|https://www.congress.gov/110/bills/s3639/BILLS-110s3639pcs.pdf
HEART for Women Act|110|House|LOIS CAPPS(D) |Received in the Senate.|2008-09-26|https://www.congress.gov/110/bills/hr1014/BILLS-110hr1014rds.pdf
To amend the Small Business Act to establish a mentorship program designed to help minority and women-owned small businesses build their capacities and access to contracting opportunities in the construction industry.|110|House|Yvette Clarke(D) |Referred to the House Committee on Small Business.|2008-09-25|https://www.congress.gov/110/bills/hr7087/BILLS-110hr7087ih.pdf
Protecting Pregnant Women and Children From Perchlorate Act of 2008|110|Senate|BARBARA BOXER(D) |Placed on Senate Legislative Calendar under General Orders. Calendar No. 1055.|2008-09-24|https://www.congress.gov/110/bills/s150/BILLS-110s150rs.pdf
Condemning sexual violence in the Democratic Republic of the Congo and calling on the international community to take immediate actions to respond to the violence.|110|House|CAROLYN MALONEY(D) |Motion to reconsider laid on the table Agreed to without objection.|2008-09-23|https://www.congress.gov/110/bills/hres1227/BILLS-110hres1227eh.pdf
Girl Scouts USA Centennial Commemorative Coin Act|110|Senate|Susan Collins(R) |Read twice and referred to the Committee on Banking, Housing, and Urban Affairs.|2008-09-23|NA
Recognizing the 150th anniversary year of the founding of Macy's, Inc., as an American entrepreneurial success story and the role Macy's, Inc., plays in supporting America's small businesses and vendors, including those that are minority and women owned; celebrating the vision, innovativeness, and ingenuity of all of our Nation's small businesses that aspire to grow and prosper as Macy's, Inc., has over its 150-year history; and congratulating Macy's, Inc., as an American entrepreneurial success story.|110|House|STEVE CHABOT(R) |Motion to reconsider laid on the table Agreed to without objection.|2008-09-23|https://www.congress.gov/110/bills/hres1473/BILLS-110hres1473eh.pdf
A concurrent resolution commemorating Irena Sendler, a woman whose bravery saved the lives of thousands during the Holocaust and remembering her legacy of courage, selflessness, and hope.|110|Senate|Barack Obama(D) |Held at the desk.|2008-09-23|https://www.congress.gov/110/bills/sconres96/BILLS-110sconres96es.pdf
To condemn the efforts of the Human Rights Committee of the United Nations and the United Nations Committee on the Elimination of Discrimination against Women to pressure and coerce the democratically elected government of the Republic of Ireland to reduce or eliminate its constitutionally established abortion restrictions.|110|House|Thaddeus McCotter(R) |Referred to the House Committee on Foreign Affairs.|2008-09-23|https://www.congress.gov/110/bills/hres1482/BILLS-110hres1482ih.pdf
Expressing the sense of the House of Representatives that the Commissioner of Food and Drugs should evaluate the scientific evidence on the question of whether to add more folic acid to enriched grain products and expand folic acid fortification into cornmeal and corn-based food products to help prevent further serious birth defects.|110|House|PETE SESSIONS(R) |Referred to the House Committee on Energy and Commerce.|2008-09-23|https://www.congress.gov/110/bills/hres1487/BILLS-110hres1487ih.pdf
